Proposal No. on PARIVESH
WL/JK/ROAD/575647/2026
FP/JK/ROAD/575489/2026
FP/JK/ROAD/575607/2026
WL/JK/ROAD/574499/2026
WL/JK/ROAD/575012/2026
WL/JK/ROAD/577088/2026
FP/JK/ROAD/575045/2026
WL/JK/ROAD/575025/2026
FP/JK/ROAD/569942/2026
FP/JK/ROAD/577122/2026
FP/JK/ROAD/577170/2026
FP/JK/OTHERS/576446/2026
FP/JK/OTHERS/576227/2026
FP/JK/OTHERS/575512/2026
FP/JK/OTHERS/576619/2026
FP/JK/ROAD/575362/2026
FP/JK/ROAD/576597/2026
FP/JK/ROAD/575892/2026
FP/JK/ROAD/576358/2026
FP/JK/OTHERS/560842/2025
FP/JK/OTHERS/575705/2026
FP/JK/OTHERS/575490/2026
FP/JK/OTHERS/576288/2026
FP/JK/ROAD/575240/2026
FP/JK/ROAD/575395/2026
FP/JK/ROAD/572488/2026
FP/JK/ROAD/575020/2026
FP/JK/ROAD/573284/2026
FP/JK/ROAD/577007/2026
FP/JK/ROAD/567017/2026
FP/JK/ROAD/575886/2026
FP/JK/ROAD/564179/2026
FP/JK/ROAD/569197/2026
FP/JK/ROAD/569196/2006
FP/JK/ROAD/569187/2006
FP/JK/ROAD/569095/2006
FP/JK/ROAD/564340/2026
FP/JK/ROAD/564076/2026
FP/JK/ROAD/569204/2026
FP/JK/ROAD/564548/2026
FP/JK/ROAD/568471/2026
FP/JK/ROAD/571799/2026
FP/JK/ROAD/568345/2026
FP/JK/ROAD/571275/2026
FP/JK/ROAD/561751/2025
FP/JK/ROAD/570146/2026
FP/JK/ROAD/561657/2025
FP/JK/ROAD/567910/2026
FP/JK/ROAD/562472/2025
FP/JK/ROAD/565996/2026
FP/JK/ROAD/559297/2025
FP/JK/ROAD/566664/2026
FP/JK/ROAD/570814/2026
FP/JK/ROAD/570816/2026
FP/JK/ROAD/575902/2026
FP/JK/OTHERS/566483/2026
FP/JK/ROAD/565966/2026
FP/JK/ROAD/572454/2026
FP/JK/ROAD/565998/2026
FP/JK/ROAD/576416/2026
FP/JK/ROAD/575246/2026
FP/JK/ROAD/570572/2026
FP/JK/ROAD/576453/2026
FP/JK/ROAD/576432/2026
FP/JK/ROAD/563376/2025
FP/JK/ROAD/563927/2026
FP/JK/ROAD/565023/2026
FP/JK/ROAD/564084/2026
FP/JK/ROAD/565027/2026
FP/JK/ROAD/570158/2026
FP/ROAD/571524/2026
FP/JK/ROAD/570163/2026
FP/JK/ROAD/570195/2026
FP/JK/ROAD/566659/2026
FP/JK/ROAD/568109/2026
FP/JK/ROAD/566663/2026
FP/JK/ROAD/571498/2026
FP/JK/ROAD/566686/2026
FP/JK/ROAD/566720/2026
FP/JK/ROAD/570200/2026
FP/JK/ROAD/569070/2026
FP/JK/ROAD/570047/2026
FP/JK/ROAD/568959/2026
FP/JK/ROAD/572269/2026
FP/JK/ROAD/560293/2025
FP/JK/ROAD/564544/2026
FP/JK/ROAD/560561/2025
FP/JK/ROAD/565981/2026
FP/JK/ROAD/564736/2026
FP/JK/ROAD/565969/2026
FP/JK/ROAD/565909/2026
SW/273203/2026
SW/273204/2026
SW/273205/2026
SW/273206/2026
SW/270955/2026
SW/273207/2026
SW/273208/2026
SW/273209/2026
SW/273210/2026
SW/273211/2026
SW/270379/2025
FP/JK/ROAD/571569/2026
FP/JK/OTHERS/570142/2026
FP/JK/OTHERS/563686/2025
FP/JK/OTHERS/570160/2026
FP/JK/ROAD/566509/2026
FP/JK/ROAD/577925/2026
FP/JK/OTHERS/570136/2026
FP/JK/ROAD/568172/2026
FP/JK/ROAD/568174/2026
FP/JK/ROAD/568163/2026
FP/JK/ROAD/568165/2026
FP/JK/ROAD/568160/2026
FP/JK/ROAD/568164/2026
CAF/259943/2026
FP/JK/ROAD/567140/2026
FP/JK/ROAD/568177/2026
FP/JK/Road/584761/2026
FP/JK/ROAD/567272/2026
FP/JK/ROAD/565646/2026
FP/JK/ROAD/566186/2026
FP/JK/ROAD/567283/2026
FP/JK/ROAD/566173/2026
FP/JK/ROAD/569846/2026
FP/JK/ROAD/571470/2026
FP/JK/ROAD/570140/2026
FP/JK/ROAD/570143/2026
